variable_x,variable_y,method,coefficient,raw_p_value,bh_adjusted_p_value,n
lat,wheel_torque_rr,spearman,0.26533148818969776,9.728059710211949e-161,2.619092998903217e-160,10000
lat,ambient_temp_c,spearman,-0.22704956962545006,4.3330803536706143e-117,1.0580777607800337e-116,10000
lat,battery_soc_roll_mean_50,spearman,0.18940579788224718,2.0277184298427718e-81,4.628487720293283e-81,10000
lat,battery_soc_roll_std_50,spearman,0.0092893372706899201,0.35297323344673626,0.37062189511907306,10000
lat,cumulative_distance_m,spearman,-0.19615291266562032,2.6672402707710602e-87,6.2235606317991404e-87,10000
lat,wheel_imbalance_score,spearman,-0.047342028052393605,2.176912200409438e-06,2.7539250728071202e-06,10000
lat,lidar_saturation_rate,spearman,0.026357913622480619,0.0083909564706131541,0.0094736605313374325,10000
lat,composite_health_score,spearman,0.14550072294040561,1.9131601502124469e-48,3.587175281648338e-48,10000
lon,lidar_distance_m,spearman,-0.10244879197918659,9.5577238413061037e-25,1.7606333391879666e-24,10000
lon,battery_soc,spearman,-0.55410159285662974,0,0,10000
lon,wheel_torque_fl,spearman,-0.059826621556880108,2.1338270553333522e-09,3.0692032987671505e-09,10000
lon,wheel_torque_fr,spearman,-0.052084369530719328,1.8749869192212045e-07,2.492071221749702e-07,10000
lon,wheel_torque_rl,spearman,-0.056048191386783408,2.040555951396102e-08,2.7825762973583211e-08,10000
lon,wheel_torque_rr,spearman,-0.055853423002716521,2.2837178191150231e-08,3.074235525731762e-08,10000
lon,ambient_temp_c,spearman,-0.87681760246078844,0,0,10000
lon,battery_soc_roll_mean_50,spearman,-0.5907593074982268,0,0,10000
lon,battery_soc_roll_std_50,spearman,0.034779654429499048,0.00050407231484445394,0.00057529992455073549,10000
lon,cumulative_distance_m,spearman,0.58682278142249888,0,0,10000
lon,wheel_imbalance_score,spearman,0.01874909356896538,0.060814771065371739,0.067931393211319496,10000
lon,lidar_saturation_rate,spearman,-0.038667064580658835,0.00010988048820721483,0.0001267851787006325,10000
lon,composite_health_score,spearman,-0.53354648285297679,0,0,10000
lidar_distance_m,battery_soc,spearman,0.16539240899524738,2.9278478044822993e-62,5.5895276267389352e-62,10000
lidar_distance_m,wheel_torque_fl,spearman,0.0048728863207288626,0.62609491555916796,0.64450947189914354,10000
lidar_distance_m,wheel_torque_fr,spearman,0.0012768620047686201,0.89840990213998073,0.89840990213998084,10000
lidar_distance_m,wheel_torque_rl,spearman,0.0022611153226111532,0.82113643416960758,0.83708083094959995,10000
lidar_distance_m,wheel_torque_rr,spearman,-0.0019234628352346283,0.84748966013106219,0.85563859917078389,10000
lidar_distance_m,ambient_temp_c,spearman,0.063325972653259732,2.3251406343875462e-10,3.487710951581319e-10,10000
lidar_distance_m,battery_soc_roll_mean_50,spearman,0.17784623306859648,7.4611927210141814e-72,1.566850471412978e-71,10000
lidar_distance_m,battery_soc_roll_std_50,spearman,0.074506181053955872,8.6485296652037986e-14,1.3970701766867674e-13,10000
